LVL,NAME,ID,HAND,TYPE,YEAR,P,RV/100,VELO,XR,EXT,ZR,AX,AY,AZ,HM,VM,TM,VD,RATE,SSH,SSV,sWHF,oWHF
AAA,Luis Medina,665622,R,FF,2023,213,-0.24,96.6,-2.7,6.3,6.2,-8.8,30.2,-16.2,-8.2,14.4,16.8,-14.9,2344,3.0,2.1,59.8,57.9
AAA,Luis Medina,665622,R,FF,2024,49,-3.96,96.6,-2.2,6.3,6.3,-7.1,29.6,-16.7,-6.4,14.0,15.6,-15.2,2371,3.0,1.7,59.9,50.1
AAA,Luis Moreno,691032,R,SI,2023,36,0.42,94.3,-1.2,6.0,6.1,-15.2,26.0,-26.7,-14.3,5.4,15.5,-25.5,2257,-4.0,-5.6,38.6,36.3
AAA,Luis Moreno,691032,R,SI,2024,61,-1.26,93.4,-1.5,5.8,6.2,-16.5,28.2,-25.9,-16.2,6.1,17.6,-25.4,2349,-3.8,-6.3,43.7,42.0
AAA,Luis Oviedo,665854,R,FF,2023,393,-1.06,95.5,-2.7,7.1,6.2,-10.3,29.6,-15.8,-9.5,14.8,17.6,-14.4,2260,1.9,1.3,53.3,52.6
AAA,Luis Oviedo,665854,R,SI,2023,189,2.66,94.6,-2.9,7.1,6.1,-16.8,29.4,-21.3,-15.6,10.0,18.9,-19.9,2235,-2.9,-3.6,43.9,43.1
AAA,Luis Palacios,672712,L,SI,2023,72,-1.1,87.4,-1.9,6.1,5.8,-14.6,25.8,-22.8,-16.2,10.5,19.4,-25.8,1916,0.4,0.6,31.2,33.3
AAA,Luis Patiño,672715,R,FF,2022,37,3.24,94.1,-1.8,6.5,6.1,-5.4,30.2,-14.7,-5.2,16.9,17.7,-14.2,2261,2.3,0.8,54.9,51.0
AAA,Luis Patiño,672715,R,FF,2023,405,-1.95,94.4,-1.3,6.5,6.1,-6.0,29.7,-13.9,-5.8,17.3,18.3,-13.2,2197,2.9,1.2,56.6,52.3
AAA,Luis Patiño,672715,R,SI,2023,147,-4.91,93.3,-1.2,6.5,6.0,-14.6,28.5,-21.5,-14.2,10.2,17.6,-20.8,2087,-3.9,-3.9,39.7,40.1
AAA,Luis Quinones,687879,R,FF,2023,47,2.74,92.1,-1.8,6.4,6.0,-2.2,26.5,-14.5,-2.3,17.5,17.9,-14.4,2241,1.4,0.3,48.8,46.3
AAA,Luis Quinones,687879,R,FF,2024,328,0.79,92.1,-1.5,6.3,6.1,-1.7,28.4,-14.1,-1.7,18.0,18.1,-14.2,2429,2.0,0.3,54.4,44.3
AAA,Luis Reyes,642530,R,FF,2023,119,0.49,93.8,-2.2,6.2,5.6,-11.0,29.0,-19.4,-10.6,12.6,17.0,-18.4,2280,2.5,2.8,56.6,50.1
AAA,Luis Reyes,642530,R,FF,2024,30,-9.6,93.1,-2.0,6.1,5.6,-8.6,29.1,-18.6,-8.7,13.4,15.8,-18.4,2242,3.8,3.4,62.7,50.7
AAA,Luis Reyes,642530,R,SI,2023,502,-0.55,93.8,-2.1,6.1,5.6,-17.8,29.2,-26.6,-17.2,5.4,18.1,-25.8,2204,-2.7,-5.3,41.7,37.4
